W07D,None,{'station': 'W07D', 'az': 270.889, 'dist': '113.142', 'pga': 0.538, 'date': '2011-11-20', 'time': '14:19:20'}
W07D,None,{'station': 'W07D', 'az': 320.198, 'dist': '65.33', 'pga': 2.931, 'date': '2011-11-20', 'time': '19:14:33'}
W07D,None,{'station': 'W07D', 'az': 28.2634, 'dist': '129.676', 'pga': 0.419, 'date': '2011-11-22', 'time': '05:57:59'}
W07D,None,{'station': 'W07D', 'az': 356.012, 'dist': '328.282', 'pga': 0.359, 'date': '2011-11-23', 'time': '12:13:37'}
W001,None,{'station': 'W001', 'az': 199.21, 'dist': '254.865', 'pga': 0.718, 'date': '2011-11-28', 'time': '00:15:34'}
W003,None,{'station': 'W003', 'az': 199.06, 'dist': '206.505', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W008,None,{'station': 'W008', 'az': 198.028, 'dist': '194.418', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W009,None,{'station': 'W009', 'az': 198.777, 'dist': '247.098', 'pga': 0.538, 'date': '2011-11-28', 'time': '00:15:34'}
W00A,None,{'station': 'W00A', 'az': 199.224, 'dist': '216.985', 'pga': 0.359, 'date': '2011-11-28', 'time': '00:15:34'}
W00F,None,{'station': 'W00F', 'az': 197.338, 'dist': '188.74', 'pga': 0.658, 'date': '2011-11-28', 'time': '00:15:34'}
W014,None,{'station': 'W014', 'az': 198.584, 'dist': '173.716', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W015,None,{'station': 'W015', 'az': 200.164, 'dist': '223.891', 'pga': 0.479, 'date': '2011-11-28', 'time': '00:15:34'}
W017,None,{'station': 'W017', 'az': 197.579, 'dist': '244.748', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W018,None,{'station': 'W018', 'az': 196.202, 'dist': '246.286', 'pga': 0.479, 'date': '2011-11-28', 'time': '00:15:34'}
W019,None,{'station': 'W019', 'az': 199.858, 'dist': '271.696', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W01F,None,{'station': 'W01F', 'az': 199.314, 'dist': '285.334', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W020,None,{'station': 'W020', 'az': 198.6, 'dist': '271.676', 'pga': 0.359, 'date': '2011-11-28', 'time': '00:15:34'}
W021,None,{'station': 'W021', 'az': 196.649, 'dist': '225.687', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W042,None,{'station': 'W042', 'az': 204.258, 'dist': '103.998', 'pga': 0.359, 'date': '2011-11-28', 'time': '00:15:34'}
W055,None,{'station': 'W055', 'az': 209.236, 'dist': '344.316', 'pga': 0.837, 'date': '2011-11-28', 'time': '00:15:34'}
W059,None,{'station': 'W059', 'az': 208.654, 'dist': '328.346', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W072,None,{'station': 'W072', 'az': 212.96, 'dist': '220.58', 'pga': 0.479, 'date': '2011-11-28', 'time': '00:15:34'}
W078,None,{'station': 'W078', 'az': 211.997, 'dist': '235.926', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W079,None,{'station': 'W079', 'az': 214.549, 'dist': '229.837', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W07E,None,{'station': 'W07E', 'az': 219.144, 'dist': '236.544', 'pga': 0.479, 'date': '2011-11-28', 'time': '00:15:34'}
W07F,None,{'station': 'W07F', 'az': 211.537, 'dist': '218.884', 'pga': 0.479, 'date': '2011-11-28', 'time': '00:15:34'}
W083,None,{'station': 'W083', 'az': 209.969, 'dist': '193.861', 'pga': 0.538, 'date': '2011-11-28', 'time': '00:15:34'}
W084,None,{'station': 'W084', 'az': 212.893, 'dist': '225.594', 'pga': 0.299, 'date': '2011-11-28', 'time': '00:15:34'}
W087,None,{'station': 'W087', 'az': 210.486, 'dist': '257.881', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W08A,None,{'station': 'W08A', 'az': 218.467, 'dist': '244.458', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W08E,None,{'station': 'W08E', 'az': 216.677, 'dist': '247.083', 'pga': 0.419, 'date': '2011-11-28', 'time': '00:15:34'}
W08F,None,{'station': 'W08F', 'az': 218.954, 'dist': '241.297', 'pga': 0.718, 'date': '2011-11-28', 'time': '00:15:34'}
W095,None,{'station': 'W095', 'az': 218.871, 'dist': '249.805', 'pga': 0.538, 'date': '2011-11-28', 'time': '00:15:34'}
W096,None,{'station': 'W096', 'az': 217.972, 'dist': '211.845', 'pga': 0.598, 'date': '2011-11-28', 'time': '00:15:34'}
W001,None,{'station': 'W001', 'az': 218.818, 'dist': '44.7683', 'pga': 0.957, 'date': '2011-11-30', 'time': '06:48:01'}
W003,None,{'station': 'W003', 'az': 312.08, 'dist': '15.9293', 'pga': 4.785, 'date': '2011-11-30', 'time': '06:48:01'}
W008,None,{'station': 'W008', 'az': 347.658, 'dist': '21.5121', 'pga': 1.436, 'date': '2011-11-30', 'time': '06:48:01'}
W00A,None,{'station': 'W00A', 'az': 273.469, 'dist': '15.824', 'pga': 5.862, 'date': '2011-11-30', 'time': '06:48:01'}
W00F,None,{'station': 'W00F', 'az': 358.454, 'dist': '25.7493', 'pga': 0.718, 'date': '2011-11-30', 'time': '06:48:01'}
W014,None,{'station': 'W014', 'az': 0.176682, 'dist': '41.2495', 'pga': 2.034, 'date': '2011-11-30', 'time': '06:48:01'}
W015,None,{'station': 'W015', 'az': 258.568, 'dist': '21.9393', 'pga': 2.393, 'date': '2011-11-30', 'time': '06:48:01'}
W017,None,{'station': 'W017', 'az': 213.448, 'dist': '32.9403', 'pga': 0.837, 'date': '2011-11-30', 'time': '06:48:01'}
W018,None,{'station': 'W018', 'az': 202.895, 'dist': '33.2711', 'pga': 3.29, 'date': '2011-11-30', 'time': '06:48:01'}
W019,None,{'station': 'W019', 'az': 216.205, 'dist': '61.6921', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W01F,None,{'station': 'W01F', 'az': 211.197, 'dist': '74.2612', 'pga': 0.479, 'date': '2011-11-30', 'time': '06:48:01'}
W020,None,{'station': 'W020', 'az': 210.777, 'dist': '60.178', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W021,None,{'station': 'W021', 'az': 220.889, 'dist': '13.6971', 'pga': 1.615, 'date': '2011-11-30', 'time': '06:48:01'}
W042,None,{'station': 'W042', 'az': 6.40969, 'dist': '111.84', 'pga': 0.359, 'date': '2011-11-30', 'time': '06:48:01'}
W059,None,{'station': 'W059', 'az': 230.832, 'dist': '130.852', 'pga': 0.479, 'date': '2011-11-30', 'time': '06:48:01'}
W072,None,{'station': 'W072', 'az': 287.701, 'dist': '67.6315', 'pga': 0.837, 'date': '2011-11-30', 'time': '06:48:01'}
W077,None,{'station': 'W077', 'az': 271.768, 'dist': '93.4029', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W078,None,{'station': 'W078', 'az': 274.564, 'dist': '69.5947', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W079,None,{'station': 'W079', 'az': 282.297, 'dist': '76.501', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
